unique ID,query_text,category
0,HTTPS://VIMEO.COM/107297364﻿,junk
1,Art and Culture,general
2,Differentiate between chemical and biological origin of life,academic_servable
3,nth Term of an AP,academic_servable
4,bunmei kaika: aoiza ibunroku saien,junk
5,"Area of △ A B C where A ≡ ( 3 , − 1 , 2 ) , B ≡ ( 1 , − 1 , − 3 ) and C ≡ ( 4 , − 3 , 1 ) is (a) 165 2 sq. units. (b) 165 sq. units. (c) 20 sq. units. (d) 14 sq. units.",academic_servable
6,Positive and Negative Question Tags,academic_servable
7,plesae gujari langvaj talik me,conversational
8,Ü no home work to do meh... ,junk
9,When Food Gets Spoilt Test - 2,general
10,Love itt and ppl check out my channel!!!,conversational
11,Nice vídeo shakira good﻿,conversational
12," Given that, y=5cos - 4x ...1 The given function looks like, y=afxn ...2 Here a and n are constants. Then, dydx=ddxafxn=addxfxn dydx=anfxn - 1ddxfx dydx=anfxn - 1f'x ...(3). From equation (1) and (2), we can write, a=5, n= - 4, fx=cosx and f'x=ddxfx=ddxcosx f'x= - sinx. Substituting all the values in equations (3), dydx=5 - 4 cosx - 4 - 1 - sinx dydx=20sinxcos - 5 x. ",academic_non_servable
13," Given that, the mean of 20 values of z is Σ(z - 7)=275.. If we add - b to the set of x values, they are all translated by - b and so is their mean. So, mean(x - b)=x ̄ - b ⇒z ̄=Σ(z - 7)25 + 7=27525 + 7 =18 Thus the value of z ̄ is 18. ",academic_non_servable
14,"PISS-OFF,",junk
15,Bangkok-Capital of Thailand,academic_servable
16,You have WON a guaranteed £1000 cash or a £2000 prize.To claim yr prize call our customer service representative on,junk
17,RBI Grade B Phase - I,general
18,"9. For a man moving on a horizontal road at a uniform speed of 6 k m / h r , rain appears to fall vertically downwards. When he increases his speed to 12 k m / h r rain appears to make 30 ∘ with vertical. Find the magnitude \& direction of rain w.r.t ground. (a) 12 k m / h r at 60 ∘ to vertical (b) 12 k m / h r at 30 ∘ to vertical (c) 16 k m / h r at 37 ∘ to vertical (d) 10 k m / h r at 30 ∘ to vertical",academic_servable
19,What is the best books for group 1 sir,academic_servable
20,43 only,conversational
21,Which is greater? 45 of 56 or 23 of 45. ,academic_servable
22,The product of two irrational is always an irrational. a. True b. False,academic_servable
23," Heavy rains, storms and tsunami are natural disasters that results in heavy rains whereas drought is a natural disaster caused due to scarcity of water over an area for a long period of time. The lack of adequate precipitation, can cause reduced soil moisture, groundwater, diminished stream flow, crop damage, and a general water shortage. ",academic_non_servable
24," We need to find the number which comes after the given number, XI. To find the successor number we need to add one to the given number. Since, XI=11. 11 + 1 =12 XII=12 Hence, the successor of XI is XII. ",academic_non_servable
25," Let a number be x. Given that, Multiply a number by 12 and then add 3 and the result is 10. ⇒x×12 + 3=10 We find the number x. x2 + 3=10x2=10 - 3x=7×2x=14 Hence, 14 is the required number. ",academic_non_servable
26,Human Rights Movement in USSR,academic_servable
27,Pyramids and its Attributes,academic_servable
28,Seeking More Information About Novolac,academic_servable
29,Monuments At Patan,academic_servable
